Ano;Cluster 1;Cluster 2;Cluster 3;Cluster 4;Cluster 5
1950;-0.051098910084785565;-0.1789754566481942;-0.1765951145542767;0.008063954612004653;-0.05579361297237824
1951;-0.016747062645612015;-0.20923533632228605;-0.15773052028718798;-0.015676983002506528;-0.11864370421645991
1952;0.04279767335292255;-0.19314875188510955;-0.0840461692030712;-0.03948076135789852;-0.15944771165790012
1953;0.10957059506193725;-0.12596137617320527;0.03354719085570384;-0.06377961969234439;-0.15536559509540854
1954;0.15661172153954186;-0.019139019506233822;0.1668575682051241;-0.09001836396750705;-0.09818912178960343
1955;0.15793535128563063;0.1025290174603336;0.27857627357280407;-0.11646498964475463;-0.0007864914914644111
1956;0.10028088962634765;0.20945508620476155;0.33487089901725253;-0.13473189422092285;0.10580479565082185
1957;-0.008530576432518838;0.27790174874347584;0.3175433051027264;-0.1302366590443723;0.18442208568335045
1958;-0.1389877867600619;0.29796513764136817;0.23069562509954908;-0.08797531986853824;0.20779138526854618
1959;-0.24837094056476908;0.27515812083963564;0.09892661609276104;-0.0017636141169650732;0.1707264503659954
1960;-0.29573043798482335;0.22493458445312187;-0.042333321292761086;0.11763154609237109;0.09221348512231396
1961;-0.2577072070276569;0.16313622376884862;-0.16020289531689494;0.24052957470575922;0.0061462317874004906
1962;-0.13880070413714726;0.0976075538759593;-0.23551148331846536;0.32525076096439515;-0.05458154731461792
1963;0.02831876725868441;0.025732241592117816;-0.26678932787624254;0.33245586180255526;-0.07247746959859026
1964;0.19296484189137061;-0.06056267945100921;-0.2656199734788105;0.24157890177932365;-0.05126932765376187
1965;0.30343689223154346;-0.1650959720213125;-0.24627197662768835;0.06242331075877675;-0.011009860060395438
1966;0.3246091807173634;-0.2787788988723002;-0.21555447957862084;-0.16347961574117834;0.02380061824814758
1967;0.24973923642978968;-0.37763438340615657;-0.16878068757041992;-0.3731945700738851;0.03601195929909885
1968;0.10247765495584282;-0.42967458914281453;-0.09440364121958368;-0.5012510880662009;0.021484460530508176
1969;-0.07121958081896262;-0.40792094413032554;0.01504378260967229;-0.5006703411039046;-0.013043295845154096
1970;-0.2180530000314333;-0.30325175673743815;0.15194601647350137;-0.3590524710472273;-0.05671359143453378
1971;-0.29398345896994393;-0.13057970466841307;0.28936488495850676;-0.1044840521656824;-0.10057086390128464
1972;-0.277267818886795;0.0747598539153705;0.38719940375655326;0.20052714098930366;-0.13904480517237044
1973;-0.17438397252794705;0.26853582410711213;0.40701902679093105;0.47523507082765193;-0.16704008340439022
1974;-0.017687027399365923;0.41144609907535057;0.329130880355739;0.6424052117141706;-0.17624920660577434
1975;0.14415422058217958;0.4791581786152139;0.16386735726116522;0.6498648223157804;-0.15494159731540816
1976;0.26030800019034717;0.46528771175993355;-0.04854324059390816;0.48628097240414414;-0.09294074104915626
1977;0.29292831662231;0.3781623334233048;-0.2500708366559545;0.18685390180481526;0.010427181927671031
1978;0.2292877387209973;0.2350984558088233;-0.3842250465483179;-0.17332408698233764;0.140298560918825
1979;0.08713531868042605;0.058006850603005214;-0.4149518710213468;-0.49773016643514584;0.2666811731219066
1980;-0.08916875130055098;-0.12819793619642142;-0.3378996854342005;-0.6949058125442737;0.35262833441443275
1981;-0.24164287154089592;-0.29579783631397927;-0.18033253874751462;-0.7060709371293451;0.3673256553859272
1982;-0.3174196911294851;-0.41587489121591614;0.009397046648360358;-0.5251812172553767;0.29846288141017996
1983;-0.28711182268031865;-0.4631123298735019;0.1781651345550672;-0.2036940349520983;0.15834834548116003
1984;-0.15599311031670704;-0.4230091542709317;0.2840687095519302;0.16345208794282326;-0.018994035832052142
1985;0.036678410636107064;-0.29840149624970613;0.3069898704458657;0.46751872289498014;-0.1885509073610453
1986;0.23046183275972726;-0.1117101356568801;0.25127011544946964;0.6216540190217201;-0.3084972885447254
1987;0.3641001635173663;0.09896335052867407;0.14099514951619233;0.5895703657807345;-0.35241764856219987
1988;0.3958760058238612;0.2889538357656027;0.010559608199397219;0.3961081908000994;-0.31547954188952654
1989;0.3165676923030189;0.41816834838886374;-0.10595832668497214;0.11551225787054162;-0.21327535657024788
1990;0.15083047369443867;0.46051576363129976;-0.1834391448657238;-0.15762500567185508;-0.07494157179265583
1991;-0.052547081536116626;0.4091007240164629;-0.21035543459490907;-0.34266973328994665;0.06609239543327756
1992;-0.23713675314944255;0.2765708305547545;-0.18884317485941476;-0.39872766445590635;0.18032931577726458
1993;-0.35601931465242975;0.09146890623155123;-0.13107444616377667;-0.33266520232176444;0.2473545321323004
1994;-0.38423785596874827;-0.10808841485709454;-0.053825658155987444;-0.18853937131318835;0.25768626709888676
1995;-0.32357272987033836;-0.2822670111153124;0.026535909217618954;-0.02558713416286435;0.21239347206264167
1996;-0.19938542369351336;-0.39785406387594396;0.09698240794683716;0.10437433181331954;0.12175712719519699
1997;-0.05141030701930157;-0.43561736056277883;0.14828915203682475;0.17120477301866832;0.0035470765345970642
1998;0.07844684249144765;-0.39467370472685576;0.1740500565966272;0.1691968945369498;-0.11938991047396934
1999;0.15791903276841568;-0.29199213546381053;0.16997615732539573;0.11116403624174655;-0.22279505457368554
2000;0.17274931948140076;-0.15652027806443744;0.1347243894438912;0.019664955558178408;-0.28584223663473396
2001;0.1294963878208894;-0.01964819302939023;0.0720506372597706;-0.07986224851800694;-0.296000499820589
2002;0.052110057283801636;0.09438453307719138;-0.0073945145857972905;-0.16275407947562676;-0.25208519023553433
2003;-0.0266089351099264;0.17424785071634968;-0.08671150427185764;-0.2073539187661444;-0.1640820543960922
2004;-0.0759567583278633;0.22129724161409603;-0.1467881105209389;-0.19824758200443093;-0.0497379988241778
2005;-0.07717270411518037;0.24415463120909134;-0.17258932817604944;-0.13103140764844007;0.07052387339908851
2006;-0.029048321962140168;0.25138892386777434;-0.15885901418965503;-0.0164767902718082;0.1781267334416031
2007;0.052377301993360686;0.24625891120991578;-0.11226819979118553;0.1192754232042749;0.2587449886373988
2008;0.1397115410000835;0.22600035807763333;-0.04872173513042788;0.24056282259256653;0.3026160005378756
2009;0.20355457494406243;0.18545422466917533;0.012949784143495263;0.3130483181116775;0.30413519338938055
2010;0.22213731574682685;0.12250947719474203;0.05785553655124129;0.3155245932821926;0.2622566942387978
2011;0.188125920599587;0.04209195965670638;0.0793409082159915;0.24761675819742796;0.1820549688606909
2012;0.11048697573418811;-0.043514008268220675;0.07921889555540498;0.12992637697793874;0.07620755940824286
2013;0.010969475004642695;-0.11814967923114908;0.06467197177317982;-0.0034932183882175035;-0.035606747821283036
2014;-0.08344261230884872;-0.16731058465765553;0.0440379588614082;-0.11711772791558166;-0.13061763421429523
2015;-0.14939633783219491;-0.18314397589237355;0.02369315552819834;-0.18549010805346916;-0.18944857590918623
2016;-0.17422589063698968;-0.16682198526023867;0.007048981560714596;-0.20000906103463653;-0.20256919576913493
